,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,target,pred_prob_logreg,P_Rank_logreg,pred_prob_dtree,P_Rank_tree,pred_prob_rf,P_Rank_rf,pred_prob_gbm,P_Rank_GBM,pred_prob_stacking,P_Rank_stacking,Tenure_Rank,Tenure_Segment,MonthlyCharges_Rank,Monthly_Charge_Segment,Predicted_Churn_Rank
339,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,1,0.36125777533115255,7,0.4074074074074074,8,0.36783067332386105,8,0.6164245014748743,9,0.37653162643332466,8,9,High Tenure,10,High Charges,Top 3
377,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,0.4817632998109254,8,0.31561461794019935,7,0.34564394356967204,7,0.6178814088147275,9,0.3498011110809367,8,5,Low Tenure,10,High Charges,Top 3
445,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,1,0.38593645256154413,7,0.4074074074074074,8,0.37651354234413303,8,0.5739702525270888,9,0.3787984116989049,8,8,High Tenure,10,High Charges,Top 3
455,Female,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.15,2494.65,0,0.6024324965012425,9,0.6728110599078341,9,0.5213825676778747,9,0.6306372281351796,9,0.5784789933729001,9,5,Low Tenure,10,High Charges,Top 3
574,Female,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.85,3204.4,0,0.5321472700142995,9,0.6728110599078341,9,0.41505451830388734,8,0.42632532747812346,8,0.3971960512172343,8,5,Low Tenure,10,High Charges,Top 3
630,Male,1,Yes,Yes,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,1,0.34880720716666996,7,0.31561461794019935,7,0.29977941370823596,7,0.5075206311705777,8,0.27782234059245464,7,7,High Tenure,10,High Charges,Top 3
635,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65,1,0.34088299289913265,7,0.4074074074074074,8,0.3394946923993715,7,0.6664388563932077,9,0.35182524455405956,8,9,High Tenure,10,High Charges,Top 3
638,Male,1,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.55,5794.65,1,0.21278996108938292,6,0.16115702479338842,5,0.21897187159690445,6,0.490800501513555,8,0.1985932593704115,6,8,High Tenure,10,High Charges,Top 3
778,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),107.0,6152.3,0,0.07873900470875536,4,0.16115702479338842,5,0.178590309576942,5,0.4422323230577619,8,0.16123314900299576,6,8,High Tenure,10,High Charges,Top 3
818,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,1,0.5116113388219362,8,0.6728110599078341,9,0.42868279377910823,8,0.5888464417466778,9,0.4483760376519156,8,5,Low Tenure,10,High Charges,Top 3
876,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,1,0.3391128825471964,7,0.2916666666666667,6,0.47764035475432753,8,0.7503774085926673,10,0.546844369097569,9,4,Low Tenure,10,High Charges,Top 3
880,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,1,0.41639509500187977,8,0.6728110599078341,9,0.5234338675611119,9,0.6979903292140234,9,0.5949794623057117,9,3,Low Tenure,10,High Charges,Top 3
891,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,1,0.3447561313053177,7,0.31561461794019935,7,0.2845457556956238,7,0.5679793806497756,9,0.27207268241016425,7,7,High Tenure,10,High Charges,Top 3
975,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,108.05,7532.15,1,0.097994775334388,4,0.044444444444444446,3,0.1604448802166996,5,0.41331682002484454,8,0.14563795910172128,5,10,High Tenure,10,High Charges,Top 3
978,Male,1,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.75,6383.35,1,0.3064711834119957,7,0.3157894736842105,7,0.3105710900970226,7,0.5535508612296887,9,0.2974808014784151,7,9,High Tenure,10,High Charges,Top 3
1125,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.65,4284.8,1,0.5812915779366651,9,0.4074074074074074,8,0.44546446477049556,8,0.6429214746910643,9,0.4817878605975853,8,6,Low Tenure,10,High Charges,Top 3
1132,Female,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.05,1133.65,1,0.6251412784428086,9,0.8095238095238095,10,0.5423724465490151,9,0.8657539422873816,10,0.6517957720082865,9,3,Low Tenure,10,High Charges,Top 3
1176,Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.9,669.45,1,0.498523823150386,8,0.8095238095238095,10,0.5648033626583289,9,0.7355941980416155,10,0.6534964375198151,9,2,Low Tenure,10,High Charges,Top 3
1268,Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.15,6448.05,1,0.19081692089970703,6,0.3157894736842105,7,0.25605635034726415,6,0.50123573119845,8,0.23309477676881027,7,8,High Tenure,10,High Charges,Top 3
1306,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55,8127.6,1,0.047213712693007344,3,0.16115702479338842,5,0.1501583380931267,4,0.4677973602107644,8,0.14466166625372398,5,10,High Tenure,10,High Charges,Top 3
1313,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.55,5124.55,1,0.35399770480094034,7,0.4074074074074074,8,0.34253405304862766,7,0.5873147323659808,9,0.3402285567824255,8,7,High Tenure,10,High Charges,Top 3
1339,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.0,7133.25,1,0.27301193330591944,7,0.16115702479338842,5,0.25552097738674506,6,0.4992958070848636,8,0.23229688449357436,7,9,High Tenure,10,High Charges,Top 3
1478,Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.7,4346.4,1,0.5004564254423232,8,0.4074074074074074,8,0.4306397169466944,8,0.6963817353687938,9,0.4736447780350177,8,7,High Tenure,10,High Charges,Top 3
1547,Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.5,6873.75,1,0.28149831231172845,7,0.3157894736842105,7,0.2949341001560078,7,0.6255048371474561,9,0.29307031172281345,7,9,High Tenure,10,High Charges,Top 3
1555,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.1,5769.75,1,0.17282962228420554,5,0.1794871794871795,6,0.2167797836784673,6,0.5275699503781148,8,0.20174878179580244,6,8,High Tenure,10,High Charges,Top 3
1702,Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.4,2200.25,1,0.48632261190139164,8,0.31561461794019935,7,0.36045024656745234,7,0.4550089258056346,8,0.33617717678033393,8,5,Low Tenure,10,High Charges,Top 3
1719,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.95,318.6,0,0.611685788074332,9,0.6728110599078341,9,0.6465971162303994,10,0.42970112544771716,8,0.6910913735539941,10,2,Low Tenure,10,High Charges,Top 3
1770,Female,1,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.2,4689.5,1,0.4329022222257069,8,0.4074074074074074,8,0.3659774046011318,7,0.7616128477020273,10,0.4035627661113991,8,7,High Tenure,10,High Charges,Top 3
1787,Female,1,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.2,4599.15,0,0.31572671448650635,7,0.1794871794871795,6,0.2774125715449691,7,0.3844407330119161,8,0.23546310144250682,7,7,High Tenure,10,High Charges,Top 3
1927,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.35,5118.95,1,0.34234132796131295,7,0.31561461794019935,7,0.2717304237263007,6,0.5456694634307042,9,0.2552902091811014,7,7,High Tenure,10,High Charges,Top 3
1988,Male,1,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,108.85,6287.25,1,0.22775164125949196,6,0.3157894736842105,7,0.26514624267242654,6,0.3914424857113018,8,0.2250684272787591,7,8,High Tenure,10,High Charges,Top 3
2019,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,104.1,7040.85,1,0.16613973826845832,5,0.3157894736842105,7,0.2835052577615839,7,0.4288962552611511,8,0.2482742471288006,7,9,High Tenure,10,High Charges,Top 3
2074,Female,1,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,4600.7,1,0.2103025367638958,6,0.31561461794019935,7,0.28421953442001646,7,0.6172025585044193,9,0.28009130292340273,7,7,High Tenure,10,High Charges,Top 3
2157,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.8,5498.8,0,0.28636360597842647,7,0.1794871794871795,6,0.23478063297474638,6,0.4109948260594924,8,0.20105980617291916,6,8,High Tenure,10,High Charges,Top 3
2265,Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,112.95,1384.75,1,0.45315743651285395,8,0.8461538461538461,10,0.42960784105774397,8,0.7673680385957261,10,0.48734951981912733,8,3,Low Tenure,10,High Charges,Top 3
2266,Male,1,Yes,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.45,5481.25,0,0.16808280123442523,5,0.1794871794871795,6,0.23133503513887338,6,0.3823059848970234,8,0.19431412115985341,6,8,High Tenure,10,High Charges,Top 3
2294,Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,1,0.6761924822608256,10,0.6728110599078341,9,0.6000517038740122,9,0.8280796534473602,10,0.7106844124716701,10,3,Low Tenure,10,High Charges,Top 3
2297,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,110.35,5893.15,1,0.15229647614079064,5,0.3157894736842105,7,0.2777335274950003,7,0.3831332143516398,8,0.23556735227064876,7,8,High Tenure,10,High Charges,Top 3
2337,Female,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.75,5510.65,1,0.2712205546448921,7,0.16115702479338842,6,0.24466320354721927,6,0.5803006050890699,9,0.2343844977632362,7,8,High Tenure,10,High Charges,Top 3
2387,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.3,550.6,0,0.6059546660427055,9,0.5294117647058824,9,0.6436981280265832,10,0.6501831211101887,9,0.7265870437800017,10,2,Low Tenure,10,High Charges,Top 3
2393,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,103.7,3467.0,1,0.24391169555822706,6,0.1794871794871795,6,0.2544837748977889,6,0.5651807632364153,9,0.2414318739239952,7,6,Low Tenure,10,High Charges,Top 3
2424,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.95,6465.0,1,0.14709090069924738,5,0.16115702479338842,6,0.17258739316585894,5,0.8197880865824614,10,0.20427882553127769,6,8,High Tenure,10,High Charges,Top 3
2438,Female,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.35,847.3,1,0.44232207533986057,8,0.8095238095238095,10,0.5419324787774219,9,0.8012731146122268,10,0.6387202380968009,9,3,Low Tenure,10,High Charges,Top 3
2448,Female,1,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,1,0.714468113787598,10,0.6728110599078341,9,0.5953692174357028,9,0.8189822168654022,10,0.7039783291224805,10,4,Low Tenure,10,High Charges,Top 3
2451,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,106.1,2847.4,1,0.20922893074255372,6,0.2916666666666667,6,0.36513576104447504,7,0.6233015242575138,9,0.3745738660368886,8,5,Low Tenure,10,High Charges,Top 3
2474,Female,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,4849.1,0,0.4543200118484679,8,0.4074074074074074,8,0.40755832691467736,8,0.617122286009059,9,0.4269123317760896,8,7,High Tenure,10,High Charges,Top 3
2563,Male,1,No,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,105.95,2655.25,1,0.420030617710112,8,0.31561461794019935,7,0.3759291594404041,8,0.750844960738574,10,0.4140179462881537,8,5,Low Tenure,10,High Charges,Top 3
2582,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,1275.65,0,0.6554599853203202,9,0.6728110599078341,9,0.5704807345854589,9,0.4341464960607558,8,0.6006335193121649,9,4,Low Tenure,10,High Charges,Top 3
2609,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.55,6281.45,1,0.3672214091312151,7,0.4074074074074074,8,0.37151355258296703,8,0.5705677242108047,9,0.3719457941732614,8,9,High Tenure,10,High Charges,Top 3
2619,Female,1,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.45,3655.45,1,0.4918743487980898,8,0.6728110599078341,9,0.3989964188360495,8,0.4430478646642252,8,0.38047697383195894,8,6,Low Tenure,10,High Charges,Top 3
2638,Male,0,No,No,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.0,5426.85,1,0.17867679096557604,6,0.1794871794871795,6,0.22882967134169444,6,0.4457153147428279,8,0.20076605248663354,6,8,High Tenure,10,High Charges,Top 3
2790,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,109.65,5551.15,1,0.13097023606770114,5,0.18181818181818182,6,0.19315932115654366,5,0.42427402419545107,8,0.16972006498366732,6,7,High Tenure,10,High Charges,Top 3
2802,Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.9,3351.55,1,0.5568042663692643,9,0.6728110599078341,9,0.4274633424609263,8,0.5317655551685105,8,0.4348284308613534,8,6,Low Tenure,10,High Charges,Top 3
2812,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,104.05,6890.0,1,0.16653771584011628,5,0.3157894736842105,7,0.2697728022977195,6,0.448300014019542,8,0.23800076901498446,7,9,High Tenure,10,High Charges,Top 3
2879,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.95,7101.5,1,0.3542308470821353,7,0.4074074074074074,8,0.35133587774958847,7,0.6497711059843074,9,0.36289355264757267,8,10,High Tenure,10,High Charges,Top 3
2936,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.65,4108.15,0,0.3820283912242332,7,0.31561461794019935,7,0.31709853150819034,7,0.5672335714121997,9,0.3071850328750294,7,7,High Tenure,10,High Charges,Top 3
2953,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.85,2239.65,1,0.5595428282363984,9,0.31561461794019935,7,0.383200503525375,8,0.5630753459605095,9,0.384925697410444,8,5,Low Tenure,10,High Charges,Top 3
3040,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.6,7690.9,1,0.0958251866280463,4,0.16115702479338842,6,0.13766697859524457,4,0.49390344745084225,8,0.13934996060442892,5,10,High Tenure,10,High Charges,Top 3
3061,Male,1,No,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,2483.5,1,0.6668517597649972,10,0.6728110599078341,9,0.541244591859824,9,0.8364257275047056,10,0.6447570809253975,9,5,Low Tenure,10,High Charges,Top 3
3085,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,323.25,1,0.6723584713571679,10,0.8095238095238095,10,0.6674928741249976,10,0.8509951800333921,10,0.781323768860046,10,2,Low Tenure,10,High Charges,Top 3
3200,Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.3,5278.15,1,0.3901262417500309,7,0.4074074074074074,8,0.38533021403491796,8,0.5434021676410274,9,0.3836229763648794,8,8,High Tenure,10,High Charges,Top 3
3251,Female,1,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.75,4056.75,1,0.38283361658412224,7,0.31561461794019935,7,0.3204555094061417,7,0.6247487212473823,9,0.3215316455850263,7,6,Low Tenure,10,High Charges,Top 3
3253,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,3684.95,0,0.32916646098215785,7,0.31561461794019935,7,0.29073813434037066,7,0.42259040642854717,8,0.2544339000629201,7,6,Low Tenure,10,High Charges,Top 3
3302,Male,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.45,3066.45,1,0.4325089487221334,8,0.6728110599078341,9,0.41633113159564517,8,0.6454263412426438,9,0.44418488005673556,8,6,Low Tenure,10,High Charges,Top 3
3334,Female,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3,4443.45,1,0.508762741438091,8,0.4074074074074074,8,0.4360224329960771,8,0.6805899710507788,9,0.477367519749478,8,7,High Tenure,10,High Charges,Top 3
3364,Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.9,2254.2,1,0.551518680028242,9,0.6728110599078341,9,0.48001797816382746,8,0.8743592970141639,10,0.5758695877093165,9,5,Low Tenure,10,High Charges,Top 3
3472,Female,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,104.75,5841.35,0,0.33709869967852374,7,0.4074074074074074,8,0.35229566496334447,7,0.5277403295645158,8,0.34040220024463164,8,8,High Tenure,10,High Charges,Top 3
3473,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.15,4512.7,1,0.38761866249285915,7,0.31561461794019935,7,0.2915063922486699,7,0.5210273058567456,8,0.2714295648147342,7,7,High Tenure,10,High Charges,Top 3
3615,Male,1,Yes,Yes,26,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.75,2710.25,1,0.5038788604546242,8,0.5294117647058824,9,0.48388591197664005,8,0.7714662650561108,10,0.5594055323185567,9,5,Low Tenure,10,High Charges,Top 3
3642,Female,1,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.1,3121.1,0,0.61759204481564,9,0.6728110599078341,9,0.48459455110897864,8,0.5280767613375482,8,0.5088972499541587,8,6,Low Tenure,10,High Charges,Top 3
3730,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,5921.35,1,0.3040576424988228,7,0.16115702479338842,6,0.2728010922549616,6,0.5640511647586118,9,0.259353892322322,7,8,High Tenure,10,High Charges,Top 3
3783,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.2,6936.85,0,0.34628150954762854,7,0.4074074074074074,8,0.36127208877705336,7,0.6762945503812012,9,0.38037707962102785,8,9,High Tenure,10,High Charges,Top 3
3807,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.65,2542.45,1,0.6086705455674312,9,0.6728110599078341,9,0.5131331723922294,9,0.8176609443722783,10,0.6063655093579299,9,5,Low Tenure,10,High Charges,Top 3
3837,Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,105.65,443.9,1,0.49216577375484594,8,0.6728110599078341,9,0.5736891104785272,9,0.8619851020142183,10,0.6875480866705085,9,2,Low Tenure,10,High Charges,Top 3
3849,Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.45,6144.55,1,0.1293277239989619,5,0.16115702479338842,6,0.16014164744647164,5,0.39317668914117637,8,0.14332447243282204,5,8,High Tenure,10,High Charges,Top 3
3872,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,103.1,970.45,0,0.5043617654612317,8,0.5294117647058824,9,0.5560509544956173,9,0.573836539570034,9,0.6108403862881402,9,3,Low Tenure,10,High Charges,Top 3
3875,Male,1,Yes,Yes,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.95,4534.9,1,0.31779373306776554,7,0.3157894736842105,7,0.32129660257978293,7,0.5070602699970991,8,0.30103984843579246,7,7,High Tenure,10,High Charges,Top 3
